	feature: travel depth: median	feature: travel depth: MAD	feature: travel depth: mean	feature: travel depth: SD	feature: travel depth: skew	feature: travel depth: kurtosis	feature: travel depth: 25%	feature: travel depth: 75%	feature: geodesic depth: median	feature: geodesic depth: MAD	feature: geodesic depth: mean	feature: geodesic depth: SD	feature: geodesic depth: skew	feature: geodesic depth: kurtosis	feature: geodesic depth: 25%	feature: geodesic depth: 75%	feature: mean curvature: median	feature: mean curvature: MAD	feature: mean curvature: mean	feature: mean curvature: SD	feature: mean curvature: skew	feature: mean curvature: kurtosis	feature: mean curvature: 25%	feature: mean curvature: 75%	feature: freesurfer curvature: median	feature: freesurfer curvature: MAD	feature: freesurfer curvature: mean	feature: freesurfer curvature: SD	feature: freesurfer curvature: skew	feature: freesurfer curvature: kurtosis	feature: freesurfer curvature: 25%	feature: freesurfer curvature: 75%	feature: freesurfer thickness: median	feature: freesurfer thickness: MAD	feature: freesurfer thickness: mean	feature: freesurfer thickness: SD	feature: freesurfer thickness: skew	feature: freesurfer thickness: kurtosis	feature: freesurfer thickness: 25%	feature: freesurfer thickness: 75%	feature: freesurfer convexity (sulc): median	feature: freesurfer convexity (sulc): MAD	feature: freesurfer convexity (sulc): mean	feature: freesurfer convexity (sulc): SD	feature: freesurfer convexity (sulc): skew	feature: freesurfer convexity (sulc): kurtosis	feature: freesurfer convexity (sulc): 25%	feature: freesurfer convexity (sulc): 75%	feature: mean position: x	feature: mean position: y	feature: mean position: z	feature: mean position in standard space: x	feature: mean position in standard space: y	feature: mean position in standard space: z	feature: Laplace-Beltrami spectrum: component 2	feature: Laplace-Beltrami spectrum: component 3	feature: Laplace-Beltrami spectrum: component 4	feature: Laplace-Beltrami spectrum: component 5	feature: Laplace-Beltrami spectrum: component 6	feature: Laplace-Beltrami spectrum: component 7	feature: Laplace-Beltrami spectrum: component 8	feature: Laplace-Beltrami spectrum: component 9	feature: Laplace-Beltrami spectrum: component 10	feature: Zernike moments: component 1	feature: Zernike moments: component 2	feature: Zernike moments: component 3	feature: Zernike moments: component 4	feature: Zernike moments: component 5	feature: Zernike moments: component 6	feature: Zernike moments: component 7	feature: Zernike moments: component 8	feature: Zernike moments: component 9	feature: Zernike moments: component 10	feature: Zernike moments: component 11	feature: Zernike moments: component 12	feature: Zernike moments: component 13	feature: Zernike moments: component 14	feature: Zernike moments: component 15	feature: Zernike moments: component 16	feature: Zernike moments: component 17	feature: Zernike moments: component 18	feature: Zernike moments: component 19	feature: Zernike moments: component 20	feature: Zernike moments: component 21	feature: Zernike moments: component 22	feature: Zernike moments: component 23	feature: Zernike moments: component 24	feature: Zernike moments: component 25	feature: Zernike moments: component 26	feature: Zernike moments: component 27	feature: Zernike moments: component 28	feature: Zernike moments: component 29	feature: Zernike moments: component 30	feature: Zernike moments: component 31	feature: Zernike moments: component 32	feature: Zernike moments: component 33	feature: Zernike moments: component 34	feature: Zernike moments: component 35	feature: Zernike moments: component 36
parte: superiortemporal	6.385545	5.329625	7.7038986492	7.2784164598	-0.6249109237	-1.216304744	1.57216	12.7107	7.6207	5.74785	9.1092521355	8.2126653845	-0.6234264788	-1.2174189886	2.57222	14.53035	-3.63032	2.51983	-3.6492649426	3.5798127853	-0.9664391141	-0.7726571906	-6.36745	-1.3480925	-0.1014289111	0.1261450648	-0.1092736159	0.1731598178	-1.259606186	-0.2702316642	-0.2324681729	0.0213476345	3.0279126167	0.4710273743	3.105029588	0.7242235676	0.8718871484	0.0053765011	2.615865469	3.5736846924	-0.3396840096	0.3909098431	-0.2671432529	0.6701856691	-0.7673946408	-0.8409012957	-0.703376472	0.0881521702	-46.7152328542	9.1211511929	0.3084633909	-53.3786586264	-16.2130357908	-3.5759281305	3.9786252159	13.7181879135	21.0249914011	22.4778718169	30.3433693737	46.597928379	51.8863284071	56.094598244	71.864133861	0.0039215522	0.0069434715	0.0066394856	0.003967016	0.0009089722	0.0011495137	0.0025491139	0.0066616696	0.0095209894	0.0097315828	0.0076845719	0.001135643	0.0037087828	0.0065523349	0.0085750645	0.0094386376	0.0006463747	0.0024269662	0.00466441	0.0062659226	0.0003921615	0.0017177483	0.0038032622	0.005692768	0.0002163772	0.0010628492	0.0026154074	0.0001285792	0.000696583	0.0018569179	8.01867348066494E-05	0.0004821336	4.82847307231049E-05	0.0003169267	2.94732446213357E-05	1.84282120680523E-05
parte: supramarginal	5.94142	5.40478	7.3728427631	7.1654989079	-0.2265403015	-1.0626902718	0.863293	12.074	7.01202	5.88868	8.4939609404	7.9249526653	-0.230560137	-1.0603158832	1.44585	13.7703	-3.59136	2.45534	-3.4305217798	3.4423778486	-0.9357027402	-0.8869021483	-6.03457	-1.11279	-0.1224231571	0.1322615594	-0.1118593793	0.1773643573	-1.0331744633	-0.8509144222	-0.2454604656	0.0210889	2.685690403	0.3308801651	2.6739473501	0.4730906702	0.5357280294	-0.4233396021	2.3444304466	3.0048587322	-0.2946515679	0.4133876562	-0.2337793077	0.6394836274	-0.7437413268	-0.8398796667	-0.6811971366	0.1650777906	-47.8128380673	-28.4454375215	17.8948182543	-53.2542035145	-42.5326865372	33.3455644928	7.82954667	11.5062083464	22.8602557217	30.8888914953	39.4418200959	52.6670160044	60.2376292168	74.608964042	78.8220458661	0.006513384	0.0118059862	0.0116667024	0.0070923345	0.0013803817	0.0023205356	0.0045420353	0.0121434352	0.0175941679	0.0174604482	0.012218543	0.0021721317	0.0075462251	0.0140017257	0.0179479962	0.017166604	0.0009005195	0.0038122599	0.0085095711	0.0130719061	0.0003473884	0.0017192656	0.0044345546	0.0078127441	0.0001368004	0.0007687174	0.0022259015	6.19481631771566E-05	0.0003900621	0.0012560924	3.1703719919512E-05	0.0002226342	1.63388529221777E-05	0.0001267134	8.00486664333931E-06	3.72150711113737E-06
parte: transversetemporal	21.8338	4.2484	22.0382124856	5.4108789469	-0.2501283068	-0.9457607898	17.7524	26.2602	24.125	4.7129	24.3845214316	5.894933133	-0.1684758355	-1.0067281534	19.4495	28.9093	-2.55042	0.8538	-2.3273859431	1.2510592189	0.0009602198	-0.539956191	-3.22416	-1.47574	-0.1271188706	0.111680463	-0.1163811296	0.1469955398	-0.4861434423	-0.9312574989	-0.2319144905	-0.0085995076	2.5090317726	0.2089848518	2.4920558139	0.314927359	0.0992999668	0.9490777798	2.2849128246	2.7083690166	0.186248973	0.2222842984	0.2798157091	0.39071602	0.1554730147	-0.6129775743	0.0020184205	0.4939113855	-37.8514787481	-4.3056897461	7.8750658681	-43.0834023962	-24.5519907223	10.9703929953	8.0191901897	13.2860016151	23.8565181202	29.6235581164	44.3838312852	50.6174380944	56.5377076996	74.3245766103	83.4202091856	6.20918688937401E-05	0.0001401266	0.0002136777	0.0002799623	0.0003369933	0.0003834516	0.000020105	6.56952103735859E-05	0.0001326065	0.0002150351	0.0003060002	5.52333500052364E-06	2.35407135611732E-05	5.93063419474011E-05	0.0001158005	0.0001933283	1.18631220908178E-06	6.22155086564884E-06	1.87592177165418E-05	4.28225838717302E-05	0.00000022	1.36763063539754E-06	4.79234040947387E-06	1.2499373761767E-05	3.81774262278653E-08	2.74063995962222E-07	1.09288697046513E-06	6.61498628922322E-09	5.38272579626507E-08	2.40533116639448E-07	1.19213920651854E-09	1.08427512673687E-08	2.23735294432638E-10	2.24944693939663E-09	4.2738381446945E-11	8.12638680525623E-12
parte: insula	20.9658	3.4043	21.460848908	5.2091679083	-0.5671041341	-0.783684234	17.868375	24.7962	35.3856	3.6336	34.438004672	6.1432634325	-0.6067482546	0.352954743	31.632425	38.9048	-2.0071	1.68614	-1.8562750009	2.5882348776	-0.7339160649	-0.5634647171	-3.6564325	-0.27773	-0.0196528882	0.0850004181	-0.0446546124	0.1668044193	-1.6420722552	1.5723886443	-0.1146258563	0.0582720675	3.2289280891	0.6093189716	3.3829303614	0.9464101364	0.8419985199	-0.4506630109	2.7206177711	4.0107884407	0.360437572	0.3735489896	0.4177257316	0.5089874795	-0.610481681	-1.0923150056	0.01333204	0.7621683478	-31.4463997878	16.4231973691	9.7699638223	-36.9297021381	-4.2618220761	2.4191092235	4.4405909519	13.6526277495	16.8588137741	31.8437902837	34.1903463781	43.3869901745	52.9447238541	58.4568590569	78.6389588374	0.0015760552	0.0030973715	0.0036573978	0.0032622053	0.0023209613	0.0013687502	0.0009228096	0.0026227219	0.0042338078	0.0050238831	0.0047701116	0.0004237811	0.0015557421	0.003147431	0.0045846376	0.00528878	0.0001845806	0.0008257044	0.0019965677	0.0034247936	7.91446690468745E-05	0.0004163719	0.0011683932	0.0023015913	3.37495985278238E-05	0.0002038392	0.0006504141	1.43594468424557E-05	9.7834783411732E-05	0.0003496315	0.000006105	4.62949074479028E-05	2.59771748284153E-06	0.00002169	1.1089104811816E-06	4.7654683229944E-07
ctx-rh-caudalanteriorcingulate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-caudalmiddlefrontal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-cuneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-entorhinal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-fusiform	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-inferiorparietal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-inferiortemporal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-isthmuscingulate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-lateraloccipital	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-lateralorbitofrontal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-lingual	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-medialorbitofrontal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-middletemporal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-parahippocampal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-paracentral	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-parsopercularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-parsorbitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-parstriangularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-pericalcarine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-postcentral	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-posteriorcingulate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-precentral	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-precuneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-rostralanteriorcingulate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-rostralmiddlefrontal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-superiorfrontal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-superiorparietal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-superiortemporal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-supramarginal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-transversetemporal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ctx-rh-insula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
